CurrentAtom,NextAtom1,NextAtom2,NextAtom3,NextAtom4,NextAtom5,NextAtom6,Formula,AtomicNumberSrc,AtomicNumberDest,ElementSrc,ElementDest,LTAMKeySrc,LTAMKeyDest,CanBindSrc,CanBindDest,AlphaTypeSrc,AlphaTypeDest,SlotNumberSrc,SlotNumberDest,SlotSpinSrc,SlotSpinDest,AlphaTypeRemainderSrc,AlphaTypeRemainderDest,CarouselAlphaTypeSrc,CarouselAlphaTypeDest,AtomicSymbolSrc,AtomicSymbolDest,SlotOrienSrc,SlotOrienDest,NeutronsSrc,NeutronsDest,ElectronsSrc,ElectronsDest,ProtonsMMSrc,ProtonsMMDest,ProtonsSrc,ProtonsDest,PXSrc,PYSrc,PZSrc,P2P3Src,P12Src,PESrc,p1xSrc,p1ySrc,p1zSrc,p2xSrc,p2ySrc,p2zSrc,p3xSrc,p3ySrc,p3zSrc,p4xSrc,p4ySrc,p4zSrc,p5xSrc,p5ySrc,p5zSrc,p6xSrc,p6ySrc,p6zSrc,N1N2Src,N1Src,N2Src,N3Src,N4Src,N5Src,N6Src,n1xSrc,n1ySrc,n1zSrc,n2xSrc,n2ySrc,n2zSrc,n3xSrc,n3ySrc,n3zSrc,n4xSrc,n4ySrc,n4zSrc,n5xSrc,n5ySrc,n5zSrc,n6xSrc,n6ySrc,n6zSrc,e1xSrc,e1ySrc,e1zSrc,e2xSrc,e2ySrc,e2zSrc,e3xSrc,e3ySrc,e3zSrc,e4xSrc,e4ySrc,e4zSrc,e5xSrc,e5ySrc,e5zSrc,e6xSrc,e6ySrc,e6zSrc,PXDest,PYDest,PZDest,P2P3Dest,P12Dest,PEDest,p1xDest,p1yDest,p1zDest,p2xDest,p2yDest,p2zDest,p3xDest,p3yDest,p3zDest,p4xDest,p4yDest,p4zDest,p5xDest,p5yDest,p5zDest,p6xDest,p6yDest,p6zDest,N1N2Dest,N1Dest,N2Dest,N3Dest,N4Dest,N5Dest,N6Dest,n1xDest,n1yDest,n1zDest,n2xDest,n2yDest,n2zDest,n3xDest,n3yDest,n3zDest,n4xDest,n4yDest,n4zDest,n5xDest,n5yDest,n5zDest,n6xDest,n6yDest,n6zDest,e1xDest,e1yDest,e1zDest,e2xDest,e2yDest,e2zDest,e3xDest,e3yDest,e3zDest,e4xDest,e4yDest,e4zDest,e5xDest,e5yDest,e5zDest,e6xDest,e6yDest,e6zDest
Ca,N,NULL,NULL,NULL,NULL,NULL,Ca3N2,7,20,nitrogen,calcium,A1Z6A,B15Y1R,1,1,2,1,1,15,A,R,2,2,1,2,N,Ca,Z,Y,6,1,A,B,7,20,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.09999990463257,0,-1.5,-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ca,N,O,NULL,NULL,NULL,NULL,CaN2O4,7,20,nitrogen,calcium,A1Z6A,T14Y1L,1,1,2,1,1,14,A,L,2,2,1,2,N,Ca,Z,Y,6,1,A,T,7,20,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.09999990463257,0,1.5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ca,N,O,NULL,NULL,NULL,NULL,CaN2O4,7,20,nitrogen,calcium,A1Z6A,B15Y1R,1,1,2,1,1,15,A,R,2,2,1,2,N,Ca,Z,Y,6,1,A,B,7,20,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.09999990463257,0,-1.5,-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ca,N,O,NULL,NULL,NULL,NULL,CaN2O4,8,20,oxygen,calcium,A1Z6B,T14Y1L,1,1,2,1,1,14,B,L,3,2,1,2,O,Ca,Z,Y,6,1,A,T,8,20,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.09999990463257,0,1.5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ca,N,O,NULL,NULL,NULL,NULL,CaN2O4,8,20,oxygen,calcium,A1Z6B,B15Y1R,1,1,2,1,1,15,B,R,3,2,1,2,O,Ca,Z,Y,6,1,A,B,8,20,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.09999990463257,0,-1.5,-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ca,O,NULL,NULL,NULL,NULL,NULL,Ca2O2,8,20,oxygen,calcium,A1Z6B,T14Y1L,1,1,2,1,1,14,B,L,3,2,1,2,O,Ca,Z,Y,6,1,A,T,8,20,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.09999990463257,0,1.5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ca,O,NULL,NULL,NULL,NULL,NULL,Ca2O2,8,20,oxygen,calcium,A1Z6B,B15Y1R,1,1,2,1,1,15,B,R,3,2,1,2,O,Ca,Z,Y,6,1,A,B,8,20,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.09999990463257,0,-1.5,-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ca,O,P,NULL,NULL,NULL,NULL,Ca2O7P2,8,20,oxygen,calcium,A1Z6B,T14Y1L,1,1,2,1,1,14,B,L,3,2,1,2,O,Ca,Z,Y,6,1,A,T,8,20,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.09999990463257,0,1.5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ca,O,P,NULL,NULL,NULL,NULL,Ca2O7P2,8,20,oxygen,calcium,A1Z6B,B15Y1R,1,1,2,1,1,15,B,R,3,2,1,2,O,Ca,Z,Y,6,1,A,B,8,20,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.09999990463257,0,-1.5,-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ca,O,P,NULL,NULL,NULL,NULL,Ca2O7P2,8,15,oxygen,phosphorus,A1Z6B,B4Z2L,1,1,2,1,1,4,B,L,3,6,1,1,O,P,Z,Z,6,2,A,B,8,15,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.39999997615814,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ca,O,S,NULL,NULL,NULL,NULL,CaO3S2,8,20,oxygen,calcium,A1Z6B,T14Y1L,1,1,2,1,1,14,B,L,3,2,1,2,O,Ca,Z,Y,6,1,A,T,8,20,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.09999990463257,0,1.5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ca,O,S,NULL,NULL,NULL,NULL,CaO3S2,8,20,oxygen,calcium,A1Z6B,B15Y1R,1,1,2,1,1,15,B,R,3,2,1,2,O,Ca,Z,Y,6,1,A,B,8,20,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.09999990463257,0,-1.5,-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ca,O,S,NULL,NULL,NULL,NULL,CaO3S2,8,16,oxygen,sulfur,A1Z6B,T5Z1R,1,1,2,1,1,5,B,R,3,7,1,1,O,S,Z,Z,6,1,A,T,8,16,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.20000004768372,0,-0.5,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ca,O,S,NULL,NULL,NULL,NULL,CaO3S2,8,16,oxygen,sulfur,A1Z6B,B4Z1L,1,1,2,1,1,4,B,L,3,7,1,1,O,S,Z,Z,6,1,A,B,8,16,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.20000004768372,0,0.5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ca,O,Se,NULL,NULL,NULL,NULL,CaO3Se,8,20,oxygen,calcium,A1Z6B,T14Y1L,1,1,2,1,1,14,B,L,3,2,1,2,O,Ca,Z,Y,6,1,A,T,8,20,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.09999990463257,0,1.5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ca,O,Se,NULL,NULL,NULL,NULL,CaO3Se,8,20,oxygen,calcium,A1Z6B,B15Y1R,1,1,2,1,1,15,B,R,3,2,1,2,O,Ca,Z,Y,6,1,A,B,8,20,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.09999990463257,0,-1.5,-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ca,O,Se,NULL,NULL,NULL,NULL,CaO3Se,8,34,oxygen,selenium,A1Z6B,T14Y2L,1,1,2,2,1,14,B,L,3,16,1,2,O,Se,Z,Y,6,2,A,T,8,34,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.09999990463257,0,1.5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ca,O,Se,NULL,NULL,NULL,NULL,CaO3Se,8,34,oxygen,selenium,A1Z6B,B15Y2R,1,1,2,2,1,15,B,R,3,16,1,2,O,Se,Z,Y,6,2,A,B,8,34,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.09999990463257,0,-1.5,-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ca,O,Se,NULL,NULL,NULL,NULL,CaO3Se,34,20,selenium,calcium,B15Y2R,T14Y1L,1,1,2,1,15,14,R,L,16,2,2,2,Se,Ca,Y,Y,2,1,B,T,34,20,2,1,0,0,-2.09999990463257,0,-1.5,-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.09999990463257,0,1.5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ca,O,Si,NULL,NULL,NULL,NULL,CaSiO3,8,20,oxygen,calcium,A1Z6B,T14Y1L,1,1,2,1,1,14,B,L,3,2,1,2,O,Ca,Z,Y,6,1,A,T,8,20,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.09999990463257,0,1.5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ca,O,Si,NULL,NULL,NULL,NULL,CaSiO3,8,20,oxygen,calcium,A1Z6B,B15Y1R,1,1,2,1,1,15,B,R,3,2,1,2,O,Ca,Z,Y,6,1,A,B,8,20,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.09999990463257,0,-1.5,-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ca,O,Sn,NULL,NULL,NULL,NULL,CaO3Sn,8,20,oxygen,calcium,A1Z6B,T14Y1L,1,1,2,1,1,14,B,L,3,2,1,2,O,Ca,Z,Y,6,1,A,T,8,20,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.09999990463257,0,1.5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ca,O,Sn,NULL,NULL,NULL,NULL,CaO3Sn,8,20,oxygen,calcium,A1Z6B,B15Y1R,1,1,2,1,1,15,B,R,3,2,1,2,O,Ca,Z,Y,6,1,A,B,8,20,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.09999990463257,0,-1.5,-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ca,O,Sr,NULL,NULL,NULL,NULL,Sr2CaO3,8,20,oxygen,calcium,A1Z6B,T14Y1L,1,1,2,1,1,14,B,L,3,2,1,2,O,Ca,Z,Y,6,1,A,T,8,20,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.09999990463257,0,1.5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ca,O,Sr,NULL,NULL,NULL,NULL,Sr2CaO3,8,20,oxygen,calcium,A1Z6B,B15Y1R,1,1,2,1,1,15,B,R,3,2,1,2,O,Ca,Z,Y,6,1,A,B,8,20,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.09999990463257,0,-1.5,-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ca,O,Te,NULL,NULL,NULL,NULL,CaTeO3,8,20,oxygen,calcium,A1Z6B,T14Y1L,1,1,2,1,1,14,B,L,3,2,1,2,O,Ca,Z,Y,6,1,A,T,8,20,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.09999990463257,0,1.5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ca,O,Te,NULL,NULL,NULL,NULL,CaTeO3,8,20,oxygen,calcium,A1Z6B,B15Y1R,1,1,2,1,1,15,B,R,3,2,1,2,O,Ca,Z,Y,6,1,A,B,8,20,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.09999990463257,0,-1.5,-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ca,O,Ti,NULL,NULL,NULL,NULL,Ca2O4Ti,8,20,oxygen,calcium,A1Z6B,T14Y1L,1,1,2,1,1,14,B,L,3,2,1,2,O,Ca,Z,Y,6,1,A,T,8,20,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.09999990463257,0,1.5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ca,O,Ti,NULL,NULL,NULL,NULL,Ca2O4Ti,8,20,oxygen,calcium,A1Z6B,B15Y1R,1,1,2,1,1,15,B,R,3,2,1,2,O,Ca,Z,Y,6,1,A,B,8,20,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.09999990463257,0,-1.5,-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ca,O,W,NULL,NULL,NULL,NULL,CaO3W,8,20,oxygen,calcium,A1Z6B,T14Y1L,1,1,2,1,1,14,B,L,3,2,1,2,O,Ca,Z,Y,6,1,A,T,8,20,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.09999990463257,0,1.5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ca,O,W,NULL,NULL,NULL,NULL,CaO3W,8,20,oxygen,calcium,A1Z6B,B15Y1R,1,1,2,1,1,15,B,R,3,2,1,2,O,Ca,Z,Y,6,1,A,B,8,20,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.09999990463257,0,-1.5,-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ca,Se,NULL,NULL,NULL,NULL,NULL,CaSe,34,20,selenium,calcium,B15Y2R,T14Y1L,1,1,2,1,15,14,R,L,16,2,2,2,Se,Ca,Y,Y,2,1,B,T,34,20,2,1,0,0,-2.09999990463257,0,-1.5,-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.09999990463257,0,1.5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
